study,Geographical breadth of research,Analysis method,Data sources,Participants,Participant size,Roles of Library Service Platforms (LSP),Challenges that libraries face
Ahmad 2021,"Perth, Australia",quantitative,computer-generated Ebook Library (EBL) transaction log files,unique ECU e-book users,"8,482, 9,353, and 11,690 year-wise unique users",NA,NA
Bernard et al 2015,"Germany, Baseline Surface Radiation Network (BSRN)",mixed methods,"PANGAEA repository, time series research data","earth observation scientists, data collectors, data curators, digital librarians, computer scientists",19 earth observation scientists,"support scientific workflows, provide content-based search and retrieval, facilitate data access and re-use","varying similarity notions, different time intervals, relevant parameters, visual overview, different query modalities, flexibility of scientific process"
Dadhich et al 2021,India,Mixed methods,Primary and secondary data,"Librarians and users from state, central, and private universities",510,"Identifying, collecting, organizing, and broadcasting digital resources; providing cataloguing tools; enabling improved end-user searching and retrieving services",Limited acceptance of cloud hosting; complexity of IT applications; security issues; high search costs in time and resources
Fu 2014,NA,qualitative,"online job postings, vendor staffing proposals",job postings for systems librarians,52,"manage print, electronic, and digital materials; integrate systems; provide training; project management",transition to next-generation ILS; maintaining multiple systems; adapting to new technologies
Fu and Carmen 2015,"Oregon, Washington, Idaho",case study,"direct observation, participant observation, emails, Alliance website, Library website, Library wiki, Library shared drives, surveys, meeting minutes, internal documents, Ex Libris Salesforce cases",forty-one librarians and staff from CWUL,41,"collaborative technical services, cooperative collection development, project management, communication, team work","data cleanup, outstanding issues with electronic resources, Primo, Acquisitions, Cataloging, Circulation"
Grammenis and Mourikis 2020,"Greece, USA",Qualitative,"Semi-structured interviews, literature review","Academic libraries, library staff",Five academic libraries,"Resource management, discovery services, workflow support","Funding issues, interoperability issues, technical support, staff training"
Guo and Xu 2023,United States and Canada,mixed methods,"surveys, interviews, usability testing","library deans, directors, system librarians, cataloging, acquisitions, technical support, and reference staff",NA,"manage electronic resources, provide collection services, streamline workflows, enhance metadata, support acquisitions and user request fulfillment","cost sharing, workflow design, policy, collaboration model, unmet training needs, lack of ERM module, data cleanup, communication issues, insufficient staffing"
Lindy et al 2015,NA,quantitative,"questionnaire, direct observation, one-on-one interviews, literature reviews","students who have access to library, library staffs",NA,"integrated library system, support intra and inter-library circulation, modular design, online book procurement, e-wallet feature","static and outdated interface, not scalable, not user friendly, declining budget, limited collections, complexity of application, agreement between libraries, infrastructure issues"
Liu and Fu 2018,"Oregon, Washington, Idaho, Ontario, Canada",mixed methods,"press releases, surveys, interviews, conference presentations, journal articles",academic libraries in consortia,"39 (OCA), 21 (OCUL)","resource sharing, collaborative technical services, unified collections, shared workflows","merging bibliographic records, user account authentication, data migration, costs, defining levels of collaboration, security, scalability, performance"
Singley and Natches 2017,U.S. academic libraries,Quantitative,Online survey,Library staff involved in ERM tasks,299,"Support electronic resource management workflows, integrate print and electronic resource processes, improve system functionalities","Need for external tools, lack of functionality in LSPs, manual workarounds, interoperability issues"
Wang 2022,NA,quantitative,cross-sectional survey research methods,NA,NA,"personalized information service system, resource sharing, user interaction, data integration","lack of macro-control mechanism, low utilization of resources, need for improved service quality"
Yeh and Walter 2016,NA,qualitative,semi-structured interviews,staff from four libraries,up to five people from each library,"manage both physical and digital collections, integrate with other university systems, provide efficient workflow, support library functions","data integrity issues, lack of effective interdepartmental communication, managing staff user emotions"
