study,Country,Population,Sample size and tech,Tool,Method
Amudha et al 2019 ,"Denmark, India, Australia",NA,NA,NA,NA
Kwan 2020,Hong Kong,"people in recovery from mental illness, social workers, peer support workers","7 participants, NA",practitioner inquiry group discussion,qualitative
Brown 2016 ,Australia,Secondary school students,NA,NA,NA
Naik 2021 ,India,Students in educational institutions,NA,Literature review,Qualitative
Chung and Tse 2022 ,Hong Kong,Young adults attending tertiary educational institutions,"45 participants, random assignment",Modified vignette-based MHL scale,Quantitative
Orosz et al 2016 ,Hungary,Hungarian public high school students,"105 students, NA",Living Library program,Quantitative
Goebel 2011 ,Canada,"Students, staff, faculty, alumni, and members of the public","22 participants, NA","Pre-event and post-event questionnaires, Pre-read and post-read questionnaires",Qualitative
Kudo et al 2011 ,Japan,"students, faculty, NPOs, NGOs, corporations, general public","30 students, 1 faculty organiser, 18 books, 72 readers, NA","questionnaires, interviews, focus groups, self-reflection",qualitative
Liu 2014 ,"Denmark, Sweden, USA, China",NA,NA,NA,NA
Ramos and Silva 2018,Portugal,"Immigrants, Elders, Adults, Youth, Teenagers","58 participants, NA",Questionnaire survey,Qualitative
Verma 2021 ,"Denmark, Hyderabad","Human Books, Readers",NA,NA,Qualitative
Wijerathne 2021,Sri Lanka,University and public library readers and librarians,"100 readers, 25 librarians and staff, purposive sampling",questionnaire,quantitative
Yamashita 2016 ,Japan,Undergraduate students in their third year of a four-year program at a university in suburban Tokyo,"6 (four female and two male), NA","Human Library project, questionnaires, reflection notes, final written reports",Mixed methods
Yap et al 2017,Philippines,Human books and readers,"192 readers, NA","Print questionnaire, YouTube analytics",Quantitative
