study,Country,Motivational factors toward PD,Relation between Motivation and Librarians' PD,Challenges in implementation of PD activities
Cossham and Fields 2006,New Zealand,"personal satisfaction, preparation for a desired position, salary increase, personal sense of responsibility and commitment, proactive and responsible, learning outcome(s), feedback into work and/or the workplace","personal satisfaction, preparation for a desired position, salary increase, personal sense of responsibility and commitment, proactive and responsible, learning outcome(s), feedback into work and/or the workplace","employer reluctance, budgets, sharing of limited money, lack of interest by junior staff, focus on training rather than professional development, staff reluctance to take on anything new, unqualified staff, lack of CPD policy, lack of quality, availability and appropriate focus of library and information science CPD, limited size of the market for small libraries and special libraries, content, delivery method, availability, and cost"
Anyaegbu and Wali 2020,Nigeria,NA,NA,NA
Chan and Auster 2005,Canada,"professional competence, patron service, collegiality, personal concerns, personal satisfaction, development of new knowledge, challenging tasks, preparation for future work, networking with other librarians, pay, recognition, job security, promotion opportunities, influence over work decisions","significant predictor, positive effect, positive influence","heavy workload, lack of interest, lack of library-related formal professional development opportunities, lack of recognition, lack of incentives, inequality of treatment on gender lines, union membership, age, membership in professional associations, organizational climate, managerial support, barriers to participation"
Dina and Olowosoke 2018,Nigeria,NA,NA,NA
Anyim 2021,NA,"professional growth, job satisfaction, recognition, non-monetary recognition, personal growth, professional development, advancement in professional skills, worthwhile professional growth, commitment, job satisfaction, motivation, improved work attitude, job performance, employee morale, productivity, staying longer periods of time with the organization","cross-training, development, training, job performance, effective job performance, professional development, job satisfaction, motivation, improved work attitude, employee morale, productivity, staying longer periods of time with the organization","distraction, lack of enthusiasm, job dissatisfaction, demoralized, loss of confidence, overwhelmed with work, aggrieved feeling, inadequate funding, shortage of library staff, cut in funding, inadequate staffing, law of departmentalization of duties, technology, culture of a university system"
Chidiadi 2019,Nigeria,NA,NA,NA
"Madukoma, Akpa, and Okafor 2014",Nigeria,"training, good salary packages, conducive working environment, regular promotion, good communication climates, staff training and development","training motivates library employees to perform their jobs, training equips library personnel skillfully and psychologically, training influences the arousal, direction, and maintenance of behaviours relevant to work setting",NA
Hamid and Younus 2021,Pakistan,NA,NA,NA
Issa 2021,Nigeria,NA,NA,"low salaries, irregular promotional structure, non-recognition of workers' achievements, poor condition of service, inadequate remuneration, poor working environment, inadequate working materials"
Venturella and Breland 2019,NA,"['keep pace with technology', 'acquire subject knowledge', 'increase efficiency and productivity', 'remedy gaps in knowledge', 'more funding', 'release time', 'compensation', 'career goals', 'institutional goals', 'strategic importance', 'commitment from administrators', 'assessment', 'useful to career goals', 'collegiality', 'acquisition of new skills', 'learning applicable work skills', 'high quality teaching', 'strengthen instructional practice', 'practical skills', 'cultural knowledge']","['impact on librarians and users', 'personal growth', 'benefits library users', 'positive changes in a library', 'out-of-the-box thinking', 'fresh perspective', 'innovative ideas', 'organizational and service changes', 'strategic importance', 'commitment from administrators', 'assessment', 'useful to career goals', 'collegiality', 'acquisition of new skills', 'learning applicable work skills', 'high quality teaching', 'strengthen instructional practice', 'practical skills', 'cultural knowledge']","['scheduling conflicts', 'time', 'focus on implementing ideas', 'time and effort', 'devote time to the activity']"
"Kendrick, Leaver, and Tritt 2013",United States,"More funding, local CPD opportunities, more time, lower pricing/more free training, more pay or other recognition, explicit job requirement or change in duties, opportunity to teach others, flat training courses, in-house training, tiered training courses",NA,"Funding, travel distance, time, staff, budget cuts, isolation, perceptions of libraries and professionalism, locating quality, relevant, and useful CPD opportunities"
Imam et al. 2021,Nigeria,"troubleshooting new technologies, academic research, internet search skills, e-library management, library automation","upgrade of professional skills, effective service delivery, increased knowledge on the use of ICTs in university libraries, better communication/interpersonal relationship with users, better e-library management, timely service delivery, better academic research written by information professionals, enhanced promotion of library services and resources, improved understanding about the librarianship profession","inadequate funds, no written capacity building policy, inadequate support from university management, no proper needs assessment, inadequate training facilities/ equipment, no proper evaluation of capacity building programmes, inadequate time to attend capacity building programmes"
Hamp and Lewis 2013,Australia,"career aspirations, maintain and improve standards of professional practice, mandatory CPD, professional registration and revalidation, alignment with library's goals and strategic direction","CPD ensures career aspirations, maintains and improves professional practice, aligns individual development with organizational goals","time, cost, accessibility, awareness of CPD process, engagement with reflective practice, barriers to CPD, confusion regarding PDR process"
