study,Country,Motivational factors toward PD,Relation between Motivation and Librarians' PD,Challenges in implementation of PD activities
Cossham and Fields 2006,New Zealand,"personal satisfaction, preparation for a desired position, salary increase, personal sense of responsibility and commitment, proactive and responsible, learning outcome, feedback into work, professional registration","personal satisfaction, preparation for a desired position, salary increase, personal sense of responsibility and commitment, proactive and responsible, learning outcome, feedback into work, professional registration","employer reluctance, budgets, sharing of limited money, lack of interest by junior staff, focus on training rather than professional development, unqualified staff, lack of CPD policy, lack of interest in CPD, lack of quality, availability, appropriate focus, lack of integration between records management, archives and libraries, lack of development for special libraries, lack of support from employer, lack of time, lack of relevant CPD, lack of structured CPD, lack of feedback, lack of reflection on CPD in terms of day to day work, lack of structures in place in the workplace, lack of interest in CPD by staff, lack of proactive approach by staff, lack of processing or reflecting on CPD in terms of day to day work, lack of conscious addressing of CPD issues"
Anyaegbu and Wali 2020,Nigeria,NA,NA,NA
Chan and Auster 2005,Canada,"professional competence, patron service, collegiality, personal concerns, personal satisfaction, development of new knowledge, challenging tasks, preparation for future work, networking with other librarians, pay, recognition, job security, promotion opportunities, influence over work decisions",significant predictor of participation in both formal professional development activities and informal activities,"heavy workload, lack of interest, lack of library-related formal professional development opportunities, lack of recognition, lack of incentives, inequality of treatment on gender lines, union membership, age, membership in professional associations, organizational climate, managerial support, barriers to participation, self-efficacy, co-worker support, organizational commitment"
Dina and Olowosoke 2018,Nigeria,"reward, internship training, transformational and facilitative leadership",Motivation enhances library personnel effectiveness,NA
Anyaegbu and Wali 2020,NA,"['professional growth', 'job satisfaction', 'non-monetary recognition', 'worthwhile professional growth', 'investment in skills', 'improved work attitude', 'self-confidence', 'multitasking ability', 'cost reduction', 'value-added', 'improved employee motivation']","['cross-training', 'development', 'training', 'job performance', 'professional development', 'skill acquisition', 'knowledge frontiers', 'flexibility', 'adaptability', 'job satisfaction', 'employee motivation']","['distraction', 'lack of enthusiasm', 'dissatisfaction', 'overwhelmed with work', 'job dissatisfaction', 'demoralization', 'loss of confidence', 'aggrieved feelings', 'threatened employees', 'multitasking', 'inadequate funding']"
Chidiadi 2019,Nigeria,NA,NA,NA
"Madukoma, Akpa, and Okafor 2014",Nigeria,"training, motivation, salary packages, conducive working environment, regular promotion, good communication climates, staff training and development","training motivates library employees, motivation influences job performance, training equips library personnel skillfully and psychologically",NA
Hamid and Younus 2021,Pakistan,NA,NA,NA
Issa 2021,Nigeria,"feeling of being involved at work, good working conditions, enjoyment of staff derive from their work, sufficient financial reward, job promotion, career development, training opportunity, well-set library goals, sincere annual appraisal, concrete job description, regular promotion, job security, leadership, team and co-worker relationship, reward programme, guidelines and procedures, workstation wellbeing, employee engagement","job motivation, job satisfaction, job performance, job productivity, organizational productivity, organizational performance, organizational effectiveness, organizational efficiency","low salaries, irregular promotional structure, non-recognition of workers' achievements, poor condition of service, inadequate remuneration, poor working environment, inadequate working materials, low job satisfaction, low job performance, low productivity, low motivation, lack of supervision, insufficient professional on the job training, lack of professional recognition"
Venturella and Breland 2019,NA,"['upgrading knowledge', 'abilities', 'competencies', 'maintaining and enhancing knowledge and skills', 'encouraging professional development of co-workers', 'fostering aspirations of potential members', 'more funding', 'release time', 'compensation', 'marketing PD opportunities', 'written plan', 'monetary support', 'administrative commitment', 'continuous learning', 'career goals', 'institution goals', 'useful to career goals', 'technology applications']","['PD helps librarians keep pace with technology', 'acquire subject knowledge', 'increase efficiency and productivity', 'remedy gaps in knowledge', 'benefits library users', 'strengthen research skills', 'yield new initiatives', 'positive changes in a library', 'out-of-the-box thinking', 'fresh perspective', 'innovative ideas', 'organizational and service changes', 'strategic importance', 'commitment to PD', ""support the employing organization's goals"", ""employee's goal to learn new skills"", 'contribute to the library professions growth and improvement', 'useful to career goals', 'build collegiality', 'facilitate the acquisition of new skills', 'strengthen instructional practice', 'improve skills in presenting', 'gain practical skills', 'cultural knowledge']","['scheduling conflicts', 'devote time to the activity', 'focus on implementing the ideas', 'requires a lot of time and effort', 'no PD written plans', 'no administrative commitment', 'no monetary support']"
